iter	Passed	Remaining
0	21	2115
1	43	2116
2	62	2013
3	81	1947
4	101	1930
5	120	1887
6	149	1983
7	176	2028
8	201	2034
9	227	2047
10	251	2037
11	275	2019
12	295	1976
13	318	1957
14	343	1944
15	364	1912
16	382	1866
17	399	1818
18	415	1770
19	435	1740
20	451	1697
21	475	1685
22	494	1653
23	512	1624
24	534	1603
25	558	1589
26	579	1566
27	601	1545
28	627	1537
29	649	1515
30	672	1497
31	691	1468
32	708	1438
33	726	1409
34	742	1379
35	764	1358
36	785	1337
37	803	1310
38	824	1290
39	843	1265
40	863	1242
41	886	1224
42	906	1201
43	924	1177
44	942	1152
45	965	1133
46	988	1115
47	1009	1093
48	1030	1072
49	1048	1048
50	1068	1026
51	1087	1003
52	1107	981
53	1125	958
54	1144	936
55	1164	914
56	1181	891
57	1198	867
58	1216	845
59	1236	824
60	1252	800
61	1270	778
62	1289	757
63	1312	738
64	1336	719
65	1357	699
66	1378	678
67	1402	659
68	1421	638
69	1441	617
70	1465	598
71	1490	579
72	1510	558
73	1529	537
74	1547	515
75	1563	493
76	1581	472
77	1599	451
78	1618	430
79	1636	409
80	1654	388
81	1671	366
82	1692	346
83	1710	325
84	1726	304
85	1743	283
86	1759	262
87	1778	242
88	1799	222
89	1818	202
90	1836	181
91	1853	161
92	1868	140
93	1885	120
94	1902	100
95	1921	80
96	1938	59
97	1958	39
98	1976	19
99	1993	0
